title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Аналитик маркетплейсов,ИП ABU-Trade,"Алматы, Бауыржан Момышулы, Москва, Сайран, Сары-Арка, микрорайон Орбита-4, 11","от 150 000 до 3 000 000 ₸ за месяц, на руки","Обязанности:
Анализ спроса и продаж товаров на маркетплейсе Kaspi;
Поиск высокомаржинальных категорий товаров с потенциалом масштабирования;
Оценка сезонности товаров, выявление позиций с постоянным спросом;
Расчёт полной себестоимости товаров с учётом логистики, налогов, упаковки и комиссии Kaspi;
Поиск новых поставщиков и заводов, ведение переговоров по цене, условиям и объёмам;
Согласование минимальных объёмов производства с фабриками для выпуска товаров под нашим брендом;
Сравнительный анализ цен и предложений конкурентов;
Сбор и систематизация обратной связи по товарам, выявление точек роста;
Подготовка аналитических отчётов для команды закупок и маркетинга;
Участие в формировании ассортимента в магазина на Kaspi.
Требования:
Опыт работы аналитиком или менеджером маркетплейса от 1 года (опыт с Kaspi — преимущество);
Уверенные навыки в Excel/Google Sheets, знание формул, сводных таблиц, фильтров;
Понимание процессов закупки, логистики и ценообразования;
Навыки ведения переговоров с поставщиками (в том числе международными);
Английский язык — уверенный уровень (деловая переписка, переговоры);
Знание китайского языка — будет большим плюсом (для коммуникации с заводами и производителями);
Способность анализировать большие массивы данных и делать обоснованные выводы;
Самостоятельность, инициативность и структурное мышление;
Знание казахстанского рынка потребительских товаров — плюс.
Условия:

Будет плюсом:

Опыт вывода private label товаров под собственным брендом;
Знание трендов и предпочтений аудитории Kaspi;
Навыки работы с BI-системами или парсерами маркетплейсов.

Мы предлагаем:

Работа с продуктом, за которым стоит бренд и наша дружная команда;
Прямое влияние на развитие продуктовой линейки;
Дружелюбная команда, быстрое принятие решений;
Конкурентная зарплата + бонусы по результатам.",1–3 года,"Полная занятость
Стажировка",График: 6/1,Рабочие часы: 9,Формат работы: на месте работодателя,26 апреля 2025,https://hh.kz/vacancy/119875425,"Анализ данных,Аналитическое мышление,Ценообразование,Бизнес-анализ,Финансовый анализ,Анализ воронки продаж,Исследовательский анализ данных,Анализ трафика"
Middle/Senior DevOps Engineer (Mentor),ТОО Частная компания Solva Technology Ltd.,"Алматы, Алмалы, Жибек Жолы, Райымбек батыра, проспект Жибек Жолы, 135",Не указано,"Solva Technology — динамично развивающаяся IT-компания, которая успешно объединяет кредитный скоринг, Data Science и цифровые финансовые технологии. Мы являемся R&D-центром и дочерней компанией Solva Group Ltd., зарегистрированной в крупнейшем технопарке Центральной Азии - Astana Hub.

С сентября 2024 года мы запустили уникальный проект по подготовке и
трудоустройству молодых IT-специалистов, помогая начинающим профессионалам сделать первые шаги в карьере.

Сегодня Solva Technology — это команда из более 100 экспертов, которые работают в ключевых направлениях: Backend, Frontend и Mobile-разработка, QA и Automation QA, Project Management, Business Analysis, HR и Finance, System Administration, DevOps, Cyber Security, Data Engineering и Service Desk.

Обязанности:

Контроль за программой уже подготовленного курса лаборатории (проведение лекций, ревью тех заданий);
Проведение митапов и создание практических занятий;
Проверка практических заданий, разъяснение ошибок;
Менторинг новых инженеров на всех этапах углубленного онбординга.

Требования:

Опыт работы от 3-х лет;
Базы данных - MySQL, MongoDB, Clickhouse. Настройка репликации, отказоустойчивости, умение восстанавливать в случае сбоя;
Linux – Ubuntu. Базовая настройка, мониторинг процессов и сетевых протоколов, установка и настройка ПО;
Docker / Docker Compose. Сборка, настройка, деплой контейнеров;
AWS (VPC, EC2, S3, IAM);
Понимание принципов построения сетевой инфраструктуры, базовое знание сетей и протоколов;
Понимание принципов CI/CD;
Опыт работы с Jenkins, Github, SonarQube;
Опыт работы с Kubernetes;
​​​​​​Опыт администрирования ОС Linux (RedHat based, Debian based);
Знание и опыт настройки CI/CD и инструментов автоматизации развертывания сервисов;
Опыт администрирования и оптимизации Nginx, Apache, PHP-FPM, PHP, MySQL, Redis, HAProxy, Docker;
Опыт администрирования и оптимизации баз данных, систем управления базами данных MySQL (Percona Server, MariaDB), MongoDB;
Опыт работы с git;
Знание работы сетевых моделей передачи данных, опыт диагностики сетевых неисправностей;
Опыт работы с системами мониторинга;
Отличные коммуникативные навыки и способность эффективно взаимодействовать с различными участниками проекта;
Грамотная речь и способность доступно объяснять материал новичкам;
Значительным плюсом будет опыт преподавания/проведения вебинаров/ выступления на конференциях, митапах.

Мы предлагаем:

Участие в интересных и инновационных финтех-проектах;
Возможность профессионального и технического развития;
Финансовая стабильность и годовой бонус;
Корпоративные курсы английского/ испанского языка;
Поддержка спортивных активностей и дополнительные days off;
Оформление в соответствии с ТК РК;
График работы: 5/2 9:00-18:00/10:00-19:00;
Яркая корпоративная культура и дружный коллектив.

Если ты ищешь стабильную работу с возможностью роста и развития в успешной компании, добро пожаловать в Solva Technology!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,25 апреля 2025,https://hh.kz/vacancy/119292337,Не указано
"Supply chain planner/Специалист по планированию продаж (Almaty, Kazakhstan)",ТОО Henkel Central Asia & Caucasus,"Алматы, улица Масанчи, 78",Не указано,"Henkel is in search of a Supply Chain Planner, Henkel Consumer Brands (Специалист по планированию продаж) in Almaty, Kazakhstan.

Responsibilities:

Ensures proper long-term supply and demand planning in our (global) planning tools.
Identifies and plans optimal inventory levels to prevent P/OOS and overstocking given market/supply chain volatility.
Suggestions for continuous improvement and implement them through root cause analysis as part of the demand and supply planning process.
Participate in the demand management cycle as part of the integrated S&OP planning process for your categories.
Customer Excellence part: The creation and processing sales orders.
Planning part: SAP ERP uploading data.
Conducting demand review, S&OP, supply review meetings. Share product performance, trends, and key insights to help support line plan development for future assortments.
Strategize and collaborate with cross functional teams on future promotional plans, ensuring financial targets are achieved and teams are aligned on execution.
Requirements:
Demonstrated experience in demand and supply planning forecasting 2 years or more.
Comprehensive knowledge of retail account operations, forecasting techniques, systems, market research data and supply chain management.
Ability to develop relationships with other parts of the company, particularly sales, finance and marketing.
Strong knowledge and experience in SAP.
Advanced MS Office skills, especially Excel and PowerPoint.
Self-motivated team member, able to push for issues with strong problem-solving skills.
Upper-intermediate English proficiency.
Following S&OP processes.
Strong organizational skills, attention to detail and follow up are critical.
Strong leader with experience in supporting and growing a multi-channel organization; ability to excel as strategic and/or hands on leader and adapt as needed.

Compensation & benefits:

Employment in an international company with well-established corporate values and standards.
Competitive salary.
Annual bonus.
Medical insurance.
Social package (subsidy for food, payment for mobile services and other benefits in accordance with the rules of the company).

At Henkel, we come from a broad range of backgrounds, perspectives, and life experiences. We believe the uniqueness of all our employees is the power in us. Become part of the team and bring your uniqueness to us! We welcome all applications across different races, colors, religions, sexes, national origins, disabilities, veteran statuses, ages, sexual orientations, gender identities and expressions, and other legally protected characteristics.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,27 апреля 2025,https://hh.kz/vacancy/119115205,"Планирование продаж,Ведение переговоров,Проведение презентаций,Английский язык,SAP,Работа с большим объемом информации,SAP ERP,Работа в команде,MS Excel,Английский — B2 — Средне-продвинутый"
ML Research Engineer (LLM),ООО ИнтеллектДиалог,Не указано,"от 100 000 до 200 000 ₽ за месяц, на руки","Привет, я Виктор Комаров, основатель IntellectDialog.

О нас

Мы - AI-стартап, резиденты Astana Hub, разрабатывающий решения на базе больших языковых моделей. Ищем инженера-исследователя для выполнения следующих задач:

1. Интеграция с API OpenAI и другими LLM-сервисами:

Разработка и поддержка интеграции с API OpenAI и других языковых моделей для выполнения запросов в реальном времени.
Поддержка функционала API, включая настройку параметров запросов, обработку ответов и реализацию проверок на ошибки.

2. Отладка запросов и мониторинг:

Разработка и внедрение решений для отладки и мониторинга запросов и ответов от LLM-моделей через API.
Настройка логирования для детальной трассировки запросов, выявления ошибок и узких мест.
Мониторинг производительности системы (время отклика, качество ответов, затраты на вычисления и т. д.) с помощью инструментов, таких как Langfuse, LangSmith, Helicone.
Создание системы оповещений при возникновении ошибок или отклонений от ожидаемой работы.

​​​​​​​​​​​​​​3. Оптимизация работы с API:

Работа с инструментами трассировки и мониторинга, для отслеживания состояния модели, запросов, ответов, параметров работы в реальном времени.
Выявление и устранение сети и задержек, оптимизация скорости запросов через API.
Оптимизация использования API (например, по количеству токенов, частоте запросов, стоимости вычислений).

4. Анализ и улучшение качества моделей:

Разработка методов сбора и анализа обратной связи от пользователей для повышения качества моделей.
Ручная аннотация данных для улучшения работы модели.
Создание и внедрение пользовательских функций оценки качества ответов модели и оценки эффективности запросов через API.
Тестирование различных параметров модели для улучшения качества работы в различных сценариях.

Требуемый опыт и компетенции:

Опыт работы с API:

Практический опыт разработки и интеграции с OpenAI API и другими API на базе LLM.
Опыт работы с RESTful API, опыт написания запросов и обработки ответов.
Опыт работы с аутентификацией и безопасностью API (например, использование токенов, OAuth).
Знание JSON, HTTP/HTTPS, понимание основ работы с сетью и сетевыми протоколами.

Знание и опыт работы с языковыми моделями (LLM):

Опыт работы с LLM (например, OpenAI GPT и другие модели), понимание их возможностей и ограничений.
Знание принципов работы и настройки параметров LLM, таких как temperature, max_tokens, top_p и т. д.
Опыт работы с фреймворками, такими как LangChain, LlamaIndex, Haystack и другими, для интеграции с моделями.

Отладка и мониторинг:

Опыт с инструментами мониторинга и отладки, такими как Langfuse, LangSmith, Helicone.
Умение собирать и анализировать логи запросов и ответов, умение работать с метками ошибок и корректировать запросы.
Знание подходов для трассировки запросов, анализа производительности и устранения узких мест.

Оптимизация и тестирование:

Опыт работы с инструментами для оптимизации производительности API-запросов и минимизации затрат (например, анализ задержек, использование кеширования, оптимизация частоты запросов).
Умение работать с инструментами для тестирования моделей, написания юнит-тестов и интеграционного тестирования.
Опыт анализа метрик (например, время отклика, количество токенов, стоимость запросов).
Условия
Удаленная работа
Гибкий график - работаете когда удобно
Почасовая оплата
Возможность экспериментировать и влиять на архитектуру решения
Доступ к GPU для экспериментов
Работа в международном проекте под эгидой Astana Hub
Почему к нам
Работа с актуальными технологиями в сфере AI
Возможность применять новейшие исследования на практике
Отсутствие бюрократии - быстрое внедрение идей
Прямое влияние на развитие продукта
Участие в развитии международного AI-стартапа
Заинтересовались?

Расскажите немного о своем опыте работы с LLM - это поможет нам лучше познакомиться!

Напишите короткое сообщение о:

Вашем опыте работы с языковыми моделями
Интересных проектах или исследованиях
Почему вам интересна эта позиция",1–3 года,"Частичная занятость
Возможно временное оформление","График: по выходным, свободный и другие варианты","Рабочие часы: 2, 3, 4 или по договорённости",Формат работы: удалённо,22 апреля 2025,https://hh.kz/vacancy/119837166,"NLP,GPT,Chat GPT,Data Science,LLM,llamaindex,трансформеры,RAG,ML,Llama,ChatGPT"
Specification Engineer,ТОО Филип Моррис Казахстан,поселок Отеген батыр,Не указано,"Be a part of a revolutionary change

At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on one clear purpose – to deliver a smoke-free future.

With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions.

Your day-to-day:

Ensure all specifications related to the manufacturing of PMI products (semifinished products and final product specifications, bill of materials, utilization ratio, parameters, technical documents and design) are properly defined and available in corresponding systems, respecting PMI QMS and Market needs.
Ensure compliance to all PMI and legal standards, policies and guidelines related to Environment, Health, Safety, Sustainability to prevent personnel, asset or societal loss.
Act and promote an interdependent and transparent safety culture fostering the utilization of preventive/predictive approach in line with Open+/IOS.
Manage the implementation of new products within the Factory by ensuring the internal and external communication flow among all departments committed to new product development and industrialization.
Assess feasibility of new products and special packaging by integrating inputs Operations, PMI and other involved departments, in order to set up project planning and identify additional operational requirements and/or risks.
RRP BATCH RECORD DOCUMENTATION: Support the manufacturing team in the establishment and revision of the batch documentation, providing guidance on data and record management. Ensure manufacturing batch Record and Batch release documentation is accurate, complete, reviewed and archived in line with PMI guideline and QMS requirements to ensure confirmation that the product can be released for commercial manufacturing.
ANALYZE & REPORTING: Provide support on report generation and data analysis, when required by ensuring the compliance and integrity of data. Participate/support the monitoring of the different Quality KPIs.
Liaise with product development, product commercialization, product services, engineering, planning and other internal or central functions to define all specifications necessary for the manufacture of semi-products and final products and launches of products on new Markets. Ensure related readiness of manpower, materials, method and machinery prior specification release.
Participate into regional development of systems for specifications of new material, products and processes. Ensure that in case of changes the process for RRP is met and PCRs are opened and followed.
Ensure all technical documents related to product and non-tobacco materials description 8Project Detailed Report (PDR), product Specifications, Good to Print (GTP), Good to Design (GTD), Technical Drawing (TD), Color Standard (CS), Technical Sheet (TS) are timely approved or delivered by Product Commercialization, Packaging and Product Development, to fit with the local production plan.
Ensure establishment and maintenance of Master Data within SAP, Product Lifecycle Management (PLM) and iMEL/LES-MES


Who we are looking for:

College/University/master's degree in Biological sciences, Physical sciences, Chemistry, Engineering or equivalent education.
Have at least 2 years of experience in Quality / Manufacturing departments in tobacco, food, pharmaceutical or similar industry.
Have excellent written and verbal communication skills in English is preferable.
Well-developed IT skills (Excel, Word, PowerPoint, Outlook, SAP, PLM), Project Management and Internal Consulting skills.
Knowledge on Quality tools, I&IM and Quality Pillar DMSs & SWPs, root cause analysis, analytical skills, statistical tool knowledge would be asset.
Have strong communication & interpersonal skills, collaborative, a team player, customer oriented, a quick learner and have attention for detail.
Knowledge of International standards (ISO)
Ability to handle complex and big amount of data and to transform data into information (reporting skills).

What we offer:

An opportunity to pursue your ambitions and develop your skills with a global business – our staggering size and scale provides endless opportunities to progress.
An opportunity to build an international career and for cross-functional moves.
Extended social package: life insurance, insurance from critical illnesses, additional payment for preschool development of children, participation in the Employee Assistance Program (financial, psychological and legal consultations) for employees and family members, and much more.

Philip Morris Kazakhstan is the holder of Top Employer Kazakhstan & Global award for 10 consecutive year as well as the only Equal Pay certificate holder in Kazakhstan, which proves our commitment to highest working standards.

Relocation support is not available for this job",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,25 апреля 2025,https://hh.kz/vacancy/119948072,"Английский язык,Исследовательский анализ данных,Анализ требований,Основы баз данных,Продуктовые метрики,Agile,Big Data,Английский — B2 — Средне-продвинутый"
Sales Analyst,ТОО Ред Булл Казахстан,"Алматы, Театр имени Ауэзова, улица Муратбаева, 180",Не указано,"JOB DESCRIPTION:

Data Analysis:

Collect and analyze sales data, market trends, and competitor activities to identify opportunities for growth.
Utilize data analytics tools to generate reports and dashboards for the field sales team and management.

Sales Performance Evaluation:

Evaluate the performance of field sales representatives by analyzing key performance indicators (KPls) such as sales volume, market share, and distribution efficiency.
Provide regular reports on individual and team performance.

Field Sales Tool Management:

Ensure that the Field Sales Team have the relevant sales enablement tools to achieve their targets

Forecasting:

Work closely with the sales and demand planning teams to develop accurate sales forecasts based on historical data and market trends.
Assist in inventory management by providing data-driven insights.

Strategy Development:

Collaborate with the sales and marketing teams to develop and implement effective sales strategies.
Propose adjustments to the sales approach based on data analysis and market feedback.

Training & Support:

Provide training and support to field sales representatives on data interpretation, reporting tools, and best practices.
Ensure that the sales team is equipped with the necessary tools and information to maximize performance.
QUALIFICATIONS:
>3 Year work experience in a data-related position preferably in the FMCG industry.
Proficiency in data analytics tools and software.
Strong communication and presentation skills.
Ability to work independently and collaboratively in a dynamic, fast-paced environment.
Knowledge of FMCG market dynamics and trends
Knowledge of SAP, Power BI, Power SQL, Microsoft programs",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,27 апреля 2025,https://hh.kz/vacancy/119333898,"Английский язык,MS PowerPoint,SQL,MS Excel,Визуализация данных,Подготовка презентаций,Аналитическое мышление,Английский — B2 — Средне-продвинутый"
Продуктовый аналитик отдела управление лайфстайл экосистемы,АО «Freedom Bank Kazakhstan»,Не указано,Не указано,"Основные обязанности/задачи сотрудника на этой позиции:

• Сбор и анализ данных пользовательского поведения в цифровых каналах (мобильные приложения, веб, SuperApp и др.)

•  Настройка и ведение аналитики в Amplitude, AppsFlyer, Power BI
•  Построение воронок, когорт, дашбордов, ретеншн-анализа, LTV и других продуктовых метрик
•  Подготовка и анализ результатов A/B-тестов
•  Формулирование гипотез, участие в формировании и валидации продуктовых решений
•  Поддержка продакт-менеджеров и дизайнеров данными для улучшения пользовательского опыта
•  Выявление узких мест, точек роста и рекомендаций по улучшению продукта
•  Настройка событий и трекинга совместно с командой разработки
•  Обогащение профилей пользователей в аналитических системах
•  Составление регулярной отчётности и презентаций по результатам анализа

Требования к опыту и навыкам:
•  Опыт работы аналитиком в цифровом продукте / банке / финтехе — от 1.5–2 лет
•  Знание продуктовой аналитики: воронки, retention, churn, MAU/DAU, конверсии, LTV, ARPU и т.д.
•  Опыт работы с Amplitude (настройка событий, сегментация, A/B-тесты)
•  Уверенные навыки работы в Power BI — визуализация, DAX, отчёты
•  Опыт работы с AppsFlyer или аналогами — мобильная атрибуция, трекинг, постбэки
•  Хорошее знание SQL — для извлечения и обработки данных из DWH
•  Понимание жизненного цикла продукта, CJM, продуктовых и маркетинговых гипотез
•  Базовое понимание аналитики маркетинговых кампаний и каналов
•  Опыт работы с трекингом событий, понимание схемы клиент–событие–атрибут
•  Будет плюсом знание Python для анализа и визуализации данных

Инструменты и технологии:
•  Amplitude, AppsFlyer, Power BI, SQL (PostgreSQL, BigQuery и др.)
•  Google Analytics / Firebase (будет плюсом)
•  Python (желательно), Excel, Miro, Figma
•  Jira / Confluence / Notion — для задач и документации",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,7 апреля 2025,https://hh.kz/vacancy/119232957,"SQL,Data Analysis,Analysis,Business Intelligence Systems,A/B тесты"
Oracle Data Engineer,Публичная Компания «Freedom Finance Global PLC»,Не указано,Не указано,"Задачи:

Разработка, оптимизация и поддержка ETL-процессов для загрузки, трансформации и обработки данных;

Проектирование и администрирование Oracle Database (12c/19c и выше);

Оптимизация SQL-запросов и хранимых процедур для повышения производительности;

Работа с PL/SQL: написание сложных хранимых процедур, триггеров, пакетов;

Мониторинг и настройка производительности базы данных (tuning, partitioning, indexing);

Разработка моделей данных, поддержка DWH (Data Warehouse);

Интеграция Oracle с другими системами (API, REST, JSON, XML, MQ);

Обеспечение надежности и безопасности данных.

Мы ожидаем от кандидата:

Опыт работы с Oracle Database от 3 лет;
Отличное знание SQL, PL/SQL;
Навыки оптимизации производительности запросов и индексов;
Опыт работы с ETL-инструментами ( Talend или аналогами);
Опыт работы с DWH, OLAP, понимание принципов хранения данных;
Базовое понимание Linux (bash);
Опыт работы с Oracle Partitioning, Materialized Views, Data Pump, RMAN;
Опыт работы с CI/CD для баз данных (Liquibase, Flyway);
Знание принципов data governance, data quality.

Будет плюсом:
Понимание принципов распределенной обработки данных, работы с потоками (Kafka, Flink, Spark.

Что мы предлагаем:

Профессиональный коллектив;
Возможность работать над проектами, приносящими пользу для тысяч людей;
Неограниченный рост;
Скидки на фитнесс, обучение английскому языку, подарки на праздники и дни рождения;
Бонусы и уникальные предложения от компаний холдинга;
Спонсирование профессионального обучения;
Насыщенная корпоративная жизнь с выездами на природу, праздничными мероприятиями в офисе, играми и розыгрышами подарков.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,"Формат работы: на месте работодателя, удалённо или разъездной",4 апреля 2025,https://hh.kz/vacancy/119166580,"ETL,Oracle Database,SQL,Oracle Pl/SQL,DWH,OLAP"
"Chief Product Officer SME (Банк, финансовые продукты)",ProPersonnel,Не указано,Не указано,"Ищем Руководителя направления продуктов SME в банк (Астана, или Алматы)!

Задачи:

Формирование стратегии направления SME​: определение долгосрочного видения продуктов и дорожной карты, трансформация стратегических целей бизнеса в цели продуктовых команд;
Развитие продуктовой линейки МСБ;
Разработка CJM и вывод продуктов до конечного потребителя в каналах (мобильное приложение, сайт);
Ответственность за достижение метрик и ключевых показателей продуктов SME;
Координация ИТ для эффективной разработки продуктов;
Анализ рынка и конкурентов для улучшения функциональности продуктов;
Развитие политик и процессов в части продуктовых практик, улучшение клиентского опыта;
Развитие сквозных бизнес-процессов для обеспечения работы продуктовых команд и вовлеченных департаментов;
Регулярное исследование бизнес-показателей, обратной связи пользователей, проведение анализа рынка для оценки эффективности дорожной карты развития и работы команды;
Найм, мотивация и управление командой.

Требования:

Подвержденный успешными кейсами опыт работы в роли CPO/Senior Product Owner направления SME;
Опыт управления продакт-менеджерами и командами разработки;
Глубокая экспертиза в банковских продуктах для малого и среднего бизнеса (технологии, законодательные инициативы и ограничения, конкурентное окружение);
Опыт вывода на рынок новых продуктов, в том числе запуск с нуля;
Data Driven подход: работа с данными и аналитикой, опыт построения финансоых и бизнес моделей;
Знание законодательства Республики Казахстан и нормативных актов в области регулирования банковской деятельности;
Понимание основных метрик продукта в каналах Digital и умение ими управлять;
Опыт работы в гибких методологиях разработки (agile).

Условия:

Высокий уровень оплаты (обсуждается и зависит от квалификации);
ДМС;
Релокация в Казахстан.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,3 апреля 2025,https://hh.kz/vacancy/119128458,"CPO,Банковские продукты,SME"
Senior Data аналитик,АО Kcell,Не указано,Не указано,"Обязанности:

Разработка моделей анализа телекоммуникационного рынка и конкурентов (включая сегментацию, анализ продуктов, территорий);

Сравнительный анализ аналогичных сервисов и продуктов, выявление рыночных тенденций и потенциала;

Построение и сопровождение систем мониторинга, анализа и прогнозирования рынка, включая ABC-анализ;

Сбор и анализ требований бизнес-подразделений, создание аналитических процессов под задачи заказчиков;

Поддержка процессов бизнес-планирования и участие в кросс-функциональных инициативах;

Пост-анализ эффективности продуктов, проектов и маркетинговых кампаний;

Мониторинг KPI подразделений и компании в целом, разработка рекомендаций по улучшению;

Аналитическая поддержка при разработке и запуске новых продуктов, тарифов и услуг;

Верификация бизнес-кейсов и предложение корректирующих действий по продуктам;

Операционный анализ отклонений ключевых показателей и выявление причин;

Подготовка ТЗ на витрины данных и дашборды по результатам анализа пользовательских запросов;

Обеспечение точности, полноты и прозрачности аналитической информации;

Взаимодействие с техническими департаментами, анализ связи технических и коммерческих метрик.

Требования:

Образование: Высшее (техническое, ИТ или физико-математическое — предпочтительно).

Опыт: От 3 лет в сфере аналитики, бизнес-анализа, работы с данными; Желателен опыт в телеком-сфере или смежных отраслях.

Глубокое понимание телеком-бизнеса и массового рынка;

Владение методами статистического анализа, построения моделей, ABC-анализа;

Уверенные навыки работы с Excel (advanced), PowerPoint, MS Office;

Опыт работы с базами данных: Oracle, MS Access;

Знание языков программирования: SQL, PL/SQL, Python, SAS/SPSS, VBA;

Понимание архитектуры DWH и принципов построения витрин данных;

Способность готовить выводы, отчёты, прогнозы;

Условия:
Достойную заработную плата;
Годовой отпуск 24 дн + 4 дополнительных дня (при использовании 24 дн.);
После испытательного срока частичная компенсация от компании по категориям:

1. Медицина (приёмы врачей, анализы, медикаменты, УЗИ, МРТ и т. п.)

2. Образование (курсы, книги, обучение в школах и дет сады для детей)

3. Фитнес (тренажерные залы, спортивные секции, танцы, бассейн, йога и т. п.)

4. Путешествия (путевки за пределы и внутри РК, авиа и Ж/Д билеты, гостиницы)

Мобильную связь;
Возможность как вертикального, так и горизонтального карьерного роста.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,18 апреля 2025,https://hh.kz/vacancy/119701393,"Анализ данных,Power BI,Python,MS SQL Server,A/B тесты,SQL,PostgreSQL"
