title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Fullstack разработчик (Laravel + Vue),ТОО Инфинити Групп Казахстан,Алматы,"от 600 000 до 1 000 000 ₸ за месяц, на руки","Обязанности:

Разработка и поддержка внутренних и клиентских решений на базе Laravel 9+ и Vue2;
Создание и поддержка REST API, интеграции с внешними системами;
Работа с существующим кодом: анализ, рефакторинг, оптимизация;
Написание чистого, структурированного и поддерживаемого кода в соответствии с принципами SOLID и концепциями чистой архитектуры;
Работа с базами данных: проектирование, оптимизация SQL-запросов;
Участие в обсуждениях архитектурных решений, код-ревью, планировании задач;
Взаимодействие с командой разработки, аналитиками и проект-менеджерами;
Написание и поддержка автоматических тестов (будет плюсом).

Требования:

Уверенное знание Laravel 9+ и PHP 8+;
Хорошее понимание принципов ООП и архитектурных подходов;
Уверенное знание Vue 2 и опыт в построении SPA;
Опыт работы с MySQL, понимание индексов, транзакций, оптимизации запросов;
Опыт разработки RESTful API и понимание принципов взаимодействия клиент-сервер;
Умение работать с чужим кодом, объективно критиковать и воспринимать критику;
Командный дух, готовность обсуждать решения и поддерживать коллег;
Плюсом будет опыт написания Unit и Feature тестов.

Мы предлагаем:

Стабильный доход: «белая» зарплата + бонусы по результатам проектов;
Современные технологии и реальные задачи, где вы можете влиять на архитектуру и результат;
Поддержка и развитие: наставничество, внутренние обучающие программы, участие в конференциях;
Прозрачная система роста: возможность карьерного и профессионального развития внутри компании;
Корпоративная культура: уважение к мнению, открытость, юмор и взаимопомощь;
Работа в команде, где ценится качество, ответственность и готовность создавать крутые продукты.
Современный офис зона отдыха с PlayStation и мягкими пуфами, кухня с угощениями, любимая музыка на фоне.
Крутые мероприятия ежемесячные корпоративы для всей команды.
Отпуск 24 дня в году — планируйте отдых заранее.

О компании:

LEEN Platform - SaaS ERP-системауправления, спроектированная с целью оптимизации бизнес-процессов и адаптируемая под уникальные потребности каждого бизнеса.

Как присоединиться к нам: Если вы узнали себя в этом описании и хотите расти в команде, где ценится подход к делу и качество кода, отправьте своё резюме с кодовой фразой «Хочу писать светлый код для Leen». Это ваш первый шаг в команду, которая стремится не просто делать «как надо», а делать круто и с умом.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/119888896,Не указано,600000–1000000 ₸,2025-05-09
Ведущий химик-аналитик,ТОО KazAgroVision,Шымкент,"от 200 000 до 250 000 ₸ за месяц, на руки","Обязанности:
Проводить в лаборатории наиболее сложные анализы, такие как ручное и автоматическое кислотно-основное титрование, осваивать и внедрять новые, ранее не применяемые методы лабораторного контроля, включая расчеты реактивов;
Обеспечивать заводскую лабораторию и цеховых/складских химиков-лаборантов титрованными и другими растворами, индикаторами;
Вести записи в лабораторных журналах по установленным формам контроля качества материалов, сырья и готовой продукции;
Участвовать в расследовании отклонений, при их возникновении, с разработкой САРА планов по их устранению и предотвращению;
Подготавливать образцы для дегустации и заполнять дегустационный лист, составлять АКТы по забраковке сырья, материалов или готового продукта;
Осуществлять контроль за состоянием лабораторного оборудования и аппаратов (рефрактометры, рН-метры, титраторы, и др.), химической посуды и реактивов;
Проводить обучение и инструктаж с цеховыми/складскими химиками-лаборантами, осуществлять ежедневный контроль за их деятельностью и своевременной подготовкой результатов работы;
Замещать на рабочем месте Начальника ОКК, на периоды его отсутствия.
Требования:
Высшее химическое, химико-биологическое образование;
Опыт в производстве на аналогичной должности не менее 3-х лет;
Уверенный пользователь ПК со знанием пакета программ Microsoft Office, создание и использование формул Excel, защищенных таблиц данных;

Дополнительные требования:

Выполнять требования надлежащей лабораторной практики (GLP) согласно требованиям ISO 9001, требования СМК завода, стремиться к постоянному улучшению своей рабочей деятельности и профессионального уровня;
Освоить и знать работу лабораторного оборудования, методы отбора проб с производственного оборудования во время технологических процессов;
Знать правила ТБ и противопожарной безопасности при работе с электрическими и нагревательными приборами, санитарные нормы на пищевом предприятии;
Знать методы контроля качества сырья и продукции согласно требованиям ГОСТ;
Умение проводить расчет количества закладки компонентов согласно рецептуре.
Условия:
5/2 с 09:00 до 18:00 (в сезон 6/1 с 09:00 до 20:00), с оплатой переработок в случае работы в выходные и праздничные дни, согласно плану производства;
Утренний и вечерний трансфер из г. Шымкент в пос. Тюлькубас на автотранспорте завода (примерно 1ч15мин в пути от ост. «Кабиско», парковка маг. GRAmad);
Обеспечение необходимыми средствами защиты при работе в лаборатории и производстве;
Увеличение оплаты труда по итогам личных достижений и итогов работы завода.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/119989512,Не указано,200000–250000 ₸,2025-05-09
Бухгалтер по налогам,ТОО TapTatti Retail,Астана,"от 400 000 до 600 000 ₸ за месяц, на руки","Обязанности:

Ведение налогового учета компании;
Сбор ФНО 100.00, 101.04, 300.00, 701.01, 700.00, 851.00, 870.00, 328.00 (при необходимости). Сверка между декларациями;
Проверка налогов группы компаний поквартально;
Тесная переписка с налоговыми органами;
Сбор некоторых форм стат.отчетности.

Требования:

Опыт работы на аналогичной позиции не менее 3-х лет;
Отличные знания Налогового кодекса;

Условия:

График работы 5/2
Оформление по ТК РК.
Бесплатный обед",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/120101824,Не указано,400000–600000 ₸,2025-05-09
Офис менеджер/АТЗ,ТОО PayPal,Алматы,"от 180 000 до 200 000 ₸ за месяц, на руки","1. Координация работы торгового зала:

• Обеспечение бесперебойной работы торгового зала.
• Распределение клиентов между менеджерами по продажам.
• Контроль за соблюдением стандартов обслуживания в зале.
• Организация работы сотрудников (менеджеров, консультантов, технического персонала) в соответствии с графиком.

2. Взаимодействие с клиентами:

• Приветствие и первичное консультирование клиентов.
• Помощь в ориентировании по автосалону (модели, зоны ожидания, дополнительные услуги).
• Обеспечение комфортных условий для клиентов: предложить кофе, воду, информировать об акциях.
• Регистрация клиентов на тест-драйвы или встречи с менеджерами.

3. Контроль качества обслуживания:

• Мониторинг уровня удовлетворенности клиентов.
• Работа с жалобами и пожеланиями клиентов, оперативное их разрешение.
• Проверка соблюдения стандартов бренда (внешний вид сотрудников, поведение, общение).
• Проведение опросов или анкетирования клиентов.

4. Организация документооборота:

• Ведение журнала регистрации посетителей.
• Контроль за правильностью заполнения клиентских анкет и договоров.
• Обеспечение наличия и правильного размещения рекламных материалов, буклетов и прайс-листов.
• Ведение табеля рабочего времени сотрудников и предоставление данных в бухгалтерию.

5. Поддержание порядка и презентации автосалона:

• Контроль чистоты и порядка в торговом зале, зоне ожидания и переговорных комнатах.
• Проверка состояния автомобилей на выставке (чистота, исправность, наличие информации о характеристиках).
• Обеспечение исправной работы технического оборудования.

6. Организация тест-драйвов:

• Ведение записи на тест-драйвы.
• Координация сотрудников, ответственных за подготовку автомобилей к тест-драйвам.
• Контроль за правильным заполнением документов перед тест-драйвом.

7. Взаимодействие с руководством и отделами:

• Информирование руководителя о текущей ситуации в торговом зале.
• Согласование работы с отделом продаж, маркетингом, техническим сервисом.
• Участие в планировании и организации рекламных мероприятий и акций.

8. Закупки и обеспечение:

• Заказ канцелярских товаров, хозяйственных принадлежностей, кофе, чая и воды для сотрудников и клиентов.
• Контроль за наличием расходных материалов, заправка картриджей и заказ новых при необходимости.
• Взаимодействие с поставщиками услуг, заключение и ведение договоров (например, клининг, доставка воды, обслуживание оборудования).
• Организация сервисного обслуживания оборудования и устранение неполадок.

9. Работа с входящими звонками:

• Отвечать на телефонные звонки в случае, если менеджеры или операторы заняты.
• Перенаправлять звонки на соответствующих сотрудников или передавать информацию.

10. Распределение лидов:

• Контроль поступающих лидов (заявок) из CRM-системы или других источников.
• Распределение заявок между менеджерами по продажам согласно установленным правилам.
• Мониторинг выполнения работы с лидами и своевременное предоставление отчетов.

11. Контроль и аналитика:

• Ведение отчетности по посещаемости, распределению лидов и продажам.
• Анализ эффективности работы торгового зала.
• Подготовка отчетов для руководства о результатах работы команды.

12. Маркетинг и продвижение:

• Участие в организации акций, презентаций новых моделей и других мероприятий.
• Контроль за актуальностью информации о скидках и акциях в рекламных материалах и на стендах

Работа в автосалоне, хозяйственный, шустрый, быстросокращающейся кандидат нам нужен .",1–3 года,"Полная занятость
Стажировка",График: 2/2,9,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/119531136,Не указано,180000–200000 ₸,2025-05-09
Главный специалист в проект онлайн-факторинг в Факторинговую компанию,ТОО AspanNova,Алматы,"от 400 000 ₸ за месяц, на руки","О компании:

Мы — динамично развивающаяся факторинговая компания ТОО ""Nomad Factoring Company"". Наша цель — стать надежным помощником и партнером для юридических лиц и ИП, в развитии Вашего бизнеса за счёт эффективного управления оборотным капиталом.

Обязанности:

Общее руководство направлением онлайн-факторинг, взаимодействие с руководством и сотрудниками онлайн-платформы;
Активное продвижение финансового продукта Факторинг на рынке;
Организация и контроль процессов финансирования через онлайн-платформу, проведение и оформление сделок, своевременное и надлежащее отражение о профинансированных сделках в отчетности, выполнения плановых показателей;
Проведение первичного анализа финансового состояния клиентов и контрактной базы;
Полное сопровождение портфеля сделок на всех этапах сделки: от заключения Договора финансирования до полного погашения задолженности по проекту;
Участие в разработке стратегий и инициатив для повышения эффективности направления онлайн-Факторинга.
Требования:
Высшее экономическое образование;
Опыт работы 2-5 лет в области анализа для предоставления финансирования кредитных/факторинговых/лизинговых сделок и т.д.;
Хорошее знание Excel, умение работать с таблицами и формулами, ведение отчетности на базе Excel;
Навыки финансового анализа будут преимуществом;
Отличные навыки коммуникации, ведения переговоров и работы с клиентами, знание русского и казахского языков;
Опыт управления командой, нацеленность на результат и лидерские качества.
Условия:
Официальное трудоустройство согласно ТК РК;
5-дневная рабочая неделя, 8-часовой рабочий день;
Ежегодный оплачиваемый отпуск — 24 календарных дня;
Конкурентоспособная заработная плата (оклад + бонусная система по результатам работы);
Возможности для профессионального роста и развития в финансовой сфере.
Место работы: г. Алматы
Мы ищем опытного профессионала, который готов возглавить команду и способствовать росту бизнеса. Если вы нацелены на результат и хотите развиваться в перспективной финансовой сфере — присоединяйтесь к нашей команде!",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/120102631,Не указано,от 400000 ₸,2025-05-09
Экономист,ТОО Құрылысшы LTD,Астана,"от 400 000 ₸ за месяц, на руки","Ведущая строительная компания Астаны приглашает в команду опытного экономиста, готового развивать управленческую отчётность, анализировать эффективность и влиять на ключевые бизнес-решения.

Обязанности:

Внедрение и ведение системы управленческой отчетности
Расчет финансовых показателей, построение финансовых моделей
Экономический анализ деятельности компании на основе отчетов и данных 1С
Анализ эффективности подразделений, расчёт затрат и рентабельности
План-факт анализ, прогнозирование, формирование бюджетов
Автоматизация отчетности и расчетов
Анализ себестоимости, доходов и расходов по направлениям
Контроль исполнения бюджетов и выявление отклонений
Разработка предложений по повышению эффективности расходов
Мониторинг корректности учёта в 1С по статьям доходов и затрат

Требования:

Высшее экономическое образование
Опыт работы от 3 лет по направлениям: управленческий учёт, финансовый анализ, бюджетирование
Отличное знание Excel (формулы, сводные таблицы), 1С 8.3
Знание законодательства РК в сфере бухгалтерии, налогов, соц. и медстрахования
Умение составлять бюджет доходов и расходов, проводить контроль и корректировки
Опыт построения моделей и расчётов в Excel и PowerPoint
Приветствуется опыт в сфере ЖКХ/эксплуатации МЖК

Условия:

Официальное трудоустройство в стабильную компанию
График: 5/2, с 09:00 до 18:00
Современный офис, корпоративные мероприятия, программы лояльности
Обучение, развитие, участие в проектах и автоматизации",3–6 лет,Полная занятость,График: 5/2,8,Не указано,8 мая 2025,https://hh.kz/vacancy/119885203,Не указано,от 400000 ₸,2025-05-08
Бизнес-аналитик (процессов),Gamma Doro,Алматы,Не указано,"Обязанности:

1. Обследование деятельности структурных подразделений Заказчика;

2. Выявление потребностей заинтересованных лиц в автоматизации бизнес-процессов;

3. Документирование результатов обследования с использованием нотации BPMN:

- схема взаимосвязей с между структурными подразделениями;

- схема организационной структуры;

- схема дерева бизнес-процессов;

- схема взаимосвязей бизнес-процессов;

- схемы бизнес-процессов и их текстовое описание;

- описание выявленных потребностей в автоматизации;

- предложения по реинжинирингу бизнес-процессов;

4. Прописать все регламенты бизнес-процессов.

5. Разработка Технического задания на автоматизацию бизнес-процессов, внедрение;

6. Взаимодействие с разработчиками;

7. Коммуникация с проектной командой Заказчика;

8. Настройка функциональности внедряемого решения;

9. Проведение тестирование функциональности;

10. Проведение обучения;

11. Участие в pre-sale мероприятиях.

Требования:

Аналитические способности. Способность анализировать данные и выявлять закономерности.

Коммуникабельность. Готовность работать в команде и общаться с разными уровнями персонала.

Техническая грамотность. Знание инструментов анализа данных и бизнес-систем. (Microsoft Excel,

Google Analytics, SQL, Tableau, такие языки программирования как Python или R.)

Понимание бизнес-процессов. Знание основных принципов функционирования бизнеса.

Организационные навыки. Умение управлять временем, правильно расставлять приоритеты задачам и подходить к планированию стратегически — ещё один ключевой навык, без которого невозможно преуспеть в бизнес-аналитике.

Внимательность к деталям. Значительная часть работы бизнес-аналитика — это анализ данных, изучение документов или построение моделей. Все эти задачи требуют высокого уровня точности и без умения концентрироваться на деталях здесь не обойтись.

Необходимые компетенции:

- Навыки сбора информации;

- Знание нотации описания бизнес-процессов BPMN обязательно;

- Навыки разработки проектной документации;

- Знание основ бухгалтерского учета и навыки настройки 1С (приветствуется);

- Навыки анализа финансовой отчетности (приветствуется);

- Знание английского языка на уровне upper intermediate (приветствуется).

Условия:
график работы 5/2 (09:00 до 18:00)
Стабильная заработная плата
Теплая и дружественная атмосфера
Корпоративное обучение и тренинги
Скидки на продукцию компании
Уютный, стильный офис
Трудоустройство согласно ТК РК
Работа в стабильной компании.
Работа с суперкомандой",более 6 лет,"Полная занятость
Возможно временное оформление",График: 5/2 или свободный,8,Гибрид,9 мая 2025,https://hh.kz/vacancy/119754820,Не указано,Не указано,2025-05-09
Chief Accountant,ТОО LUCENT PETROLEUM,Актау,Не указано,"Lucent Petroleum LLP, a dynamic upstream oil and gas company with operations in the Caspian Sea region, is pleased to announce an exciting career opportunity for the position of Chief Accountant. This role is based in our Aqtau office and offers a unique chance to contribute to the growth of a company with a strong corporate culture and significant potential for future development. We invite qualified candidates with a strong background in financial leadership and accounting to apply for this outstanding opportunity.

Key Responsibilities:

Supervise an accounting team of five professionals, ensuring high standards of performance and accountability.
Oversee all financial processes and internal controls to guarantee the accuracy and integrity of financial transactions and records.
Ensure correct booking of expenses against budget cost centers to support effective budgetary control.
Manage the preparation and submission of statistical and financial reports to auditors, suppliers, the National Bank, and other regulatory bodies, ensuring compliance with accuracy and timeliness standards.
Oversee tax compliance and provide guidance to the Senior Tax Accountant.

Required skills:

Experience in oil and gas upstream business;
Strong knowledge of International Financial Reporting Standards (IFRS).
Possess or study for the professional qualification (ACCA, DipIFR, CIMA etc);
Proven experience in financial reporting, budgeting, and forecasting.
Solid understanding of Kazakhstan tax legislation and compliance requirements.
Proficiency in ERP systems (e.g., SAP, Oracle, or 1C).
Strong analytical skills for financial analysis and performance assessment.
Demonstrated ability to supervise and lead accounting teams.
Excellent attention to detail and commitment to accuracy.
Effective verbal and written communication skills.
Strong organizational and problem-solving abilities.
High standards of professional ethics and integrity.
Fluent English, Russian, and Kazakh – is an advantage.

Application and CV in English, with details of relevant education and work experience to be sent no later than May 31, 2025.",более 6 лет,Полная занятость,График: 5/2,8,На месте работодателя,8 мая 2025,https://hh.kz/vacancy/120346914,Не указано,Не указано,2025-05-08
Team Lead,ТОО DauInvest,Астана,Не указано,"Tech Lead в TrustMe — архитектор роста и надежности

TrustMe приглашает в команду технического лидера (Tech Lead) — опытного инженера, готового сыграть ключевую роль в масштабировании нашего продукта. Мы находимся на этапе активного роста, и нам нужен человек, который сможет спроектировать архитектуру, способную поддерживать в 10 раз больше пользователей и трафика, чем сегодня.

Если вы хотите влиять на технологические решения, развивать команду и строить устойчивые системы — эта роль для вас.

Цели и ожидания

• Масштабирование нашего продукта: Внести значительный вклад в масштабирование систем для обработки 10-кратного роста пользователей и трафика.

• Проектирование надежных систем: Создавать высокомасштабируемые и надежные сервисы, API и решения для хранения данных.

• Поддержание качества кода: Соблюдать лучшие практики по качеству кода, тестированию и документации.

• Эффективное сотрудничество: Работать с межфункциональными командами для своевременной реализации проектов.

• Наставничество: Руководить младшими инженерами и предоставлять техническое руководство.

• Решение проблем: Выявлять и устранять узкие места производительности и другие технические проблемы.

Обязанности

• Проектирование и внедрение схем баз данных для реляционных баз данных (например, PostgreSQL).

• Разработка RESTful API и микросервисов.

• Внедрение автоматизированного тестирования (integration testing).

• Обеспечение мониторинга, логирования и аналитики.

• Эффективная отладка и устранение инцидентов.

• Постоянное изучение новых технологий и их внедрение.

• Проведение код-ревью и улучшение процессов разработки.

Требуемые навыки

• Опыт масштабирования систем для значительного роста.

• Глубокое понимание проектирования реляционных баз данных.

• Опыт работы с RESTful API и микросервисной архитектурой.

• Знание лучших практик разработки и мониторинга систем.

• Умение эффективно устранять инциденты и ошибки.

• Отличные аналитические и коммуникативные навыки.

Приветствуемые навыки

• Опыт работы с PostgreSQL.

• Владение фреймворками C# и ASP.NET Core.

• Знание фронтенд-систем, таких как Vue.js.

• Работа с балансировщиками нагрузки.

Что вы получите

1. Работа с опытным СТО: Наш технический директор — профессионал с многолетним опытом работы в Google и других топовых международных компаниях. Вы будете работать бок о бок с экспертом мирового уровня, который задает высокий стандарт для всей команды.

2. Комфортный офис: Современный и удобный офис на левом берегу в Астане, созданный для продуктивной работы и командного взаимодействия.

3. Профессиональное развитие: Возможности роста, участие в масштабных проектах и доступ к обучению.

4. Сильная команда: Работа в окружении профессионалов, которые готовы делиться опытом и поддерживать в сложных задачах.

5. Интересные задачи: Работа с передовыми технологиями и участие в разработке решений, которые меняют правила игры.

Если вы увлечены разработкой и хотите участвовать в масштабировании продукта на новые высоты, присоединяйтесь к нашей команде!",3–6 лет,Полная занятость,График: 5/2 и другие варианты,8,На месте работодателя или гибрид,9 мая 2025,https://hh.kz/vacancy/118884774,Не указано,Не указано,2025-05-09
Кредитный менеджер,ТОО AvtoMarketAlmaty,Алматы,Не указано,"ОБЯЗАТЕЛЬНО иметь опыт в банке!Если нет опыта,не беспокоить!!!!!







Обязанности:

• Консультирование клиентов автосалона по программам автокредитования, страхования и дополнительным услугам;

• Подбор наиболее выгодных условий кредитования в сотрудничестве с банками-партнерами;

• Оформление кредитных заявок и сопровождение клиентов на всех этапах сделки;

• Взаимодействие с представителями банков и страховых компаний;

• Подготовка и проверка пакета документов;

• Ведение отчетности и клиентской базы.




Требования:

• Опыт работы в сфере автокредитования, банковских или финансовых услуг от 1 года;

• Знание продуктов банков и страховых компаний (желательно);

• Умение вести переговоры, нацеленность на результат;

• Грамотная устная и письменная речь;

• Уверенный пользователь ПК, знание офисных программ;

• Ответственность, внимательность, стрессоустойчивость.




Условия:

• Работа в стабильной и развивающейся компании — автосалон «Автомаркет»;

• Официальное трудоустройство по ТК РФ;

• График работы: 5/2 или сменный (по договоренности);

• Конкурентная заработная плата: фиксированный оклад + высокий % от сделок;

• Обучение и возможность карьерного роста;

• Комфортные условия труда, современное рабочее место, дружный коллектив.",3–6 лет,Полная занятость,График: 6/1,8,На месте работодателя,9 мая 2025,https://hh.kz/vacancy/119989773,Не указано,Не указано,2025-05-09
