title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,link,published_date,skills
Менеджер по продажам облачных решений,ТОО qCloudy,"Алматы, улица Ходжанова, 2/2","от 400 000 до 800 000 ₸ за месяц, на руки","В команду qCloudy требуется менеджер по продажам облачных решений AWS и Yandex Cloud.

qCloudy - команда сертифицированных инженеров с многолетним опытом проектирования, создания и внедрения сложных IT-решений и высоконагруженных digital проектов. Мы строим гибкие, масштабируемые, отказоустойчивые сost-effective решения в публичном облаке с применением AI/ML и поддерживаем их 24/7.

Обязанности:

Обработка запросов клиентов, заинтересованных в облачных решениях.
Консультирование клиентов по продуктам и услугам qCloudy, помощь в выборе подходящих решений.
Проведение встреч, переговоров и презентаций для клиентов.
Подготовка коммерческих предложений и контрактов.
Взаимодействие со специалистами по проектному управлениями и разработке.
Регулярная отчетность о выполнении плана продаж.
Регулярное повышение квалификации в соответствии с планом обучения.
Требования:
Опыт работы в сфере продаж от 1–3 лет в сфере IT или облачных технологий.
Знание принципов работы облачных платформ.
Умение вести переговоры и заключать сделки.
Навыки работы с CRM-системами (предпочтительно amoCRM).
Желание развиваться в области облачных технологий и изучать новые тренды.
Грамотная устная и письменная речь.
Сертификаты по специализации IT.
Условия:
Режим работы 10:00-19:00, понедельник-пятница.
Фиксированный оклад + бонусы.
Официальное трудоустройство и социальные гарантии.
Обучение и сертификация.
Доступ к передовым технологиям и работе с инновационными проектами.
Возможность карьерного роста в высокотехнологичной компании.
Дружный коллектив, позитивная обстановка.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118931540?query=ML+Engineer&hhtmFrom=vacancy_search_list,19 апреля 2025,"B2B Продажи,amoCRM,Поиск и привлечение клиентов,Консультирование клиентов,Заключение договоров,Подготовка коммерческих предложений,AWS,Yandex Cloud"
IT Project manager (Проектный менеджер в сфере IT),ТОО FRONT D.VISION,"Алматы, улица Желтоксан, 87","от 500 000 ₸ за месяц, на руки","IT Project manager (Проектный менеджер в сфере IT)_Middle/Junior

О компании:

FRONT D.VISION

IT компания и комплексный интегратор в сфере обработки и анализа данных. Беремся за весь цикл работы с данными. Разрабатываем программные продукты любой сложности. Включаемся во все бизнес-процессы, организовываем экосистему данных и извлекаем из них пользу вместе с вами.

ЗП: от 500к на руки

Требуемый опыт работы: от 2 лет

Полная занятость, гибкий график

ЗАДАЧИ:

Управление проектами в области построения аналитических систем, систем отчетности и ML-моделей.
Взаимодействие с заказчиками: сбор и уточнение требований, согласование сроков и результатов.
Постановка задач и контроль их выполнения для команд разработки и аналитики.
Задачи по сопровождению действующих клиентов/договоров, подготовка отчетов по форме за прошедший период.
Организация работы проектной команды, включая back-end, front-end, BI, data science, data engineering.
Разработка и поддержка проектной документации.
Организация и проведение встреч, демо и презентаций для стейкхолдеров.
Управление рисками проекта и их минимизация.
Мониторинг прогресса и соблюдения сроков, бюджетов, качества проекта.
разработка решений на базе ИИ.

ТРЕБОВАНИЯ:

Опыт работы от 2 лет в роли Project Manager в проектах DWH, Big Data, или ML.
Знание жизненного цикла разработки аналитических систем и систем отчетности.
Опыт управления проектами с использованием Waterfall и Scrum.
Понимание основ работы с ML-моделями и их внедрения в продакшн.
Навыки ведения финансовой документации по проекту (составление бюджета, P&L).
Опыт работы с системами управления проектами (Jira, Trello, MS Project).
Навыки составления презентаций и ведения технической документации.
Аналитическое мышление, умение структурировать разрозненную информацию, понимать существующие бизнес-процессы заказчиков, выдвигать гипотезы.
Не бояться сложных задач и нового опыта.

УСЛОВИЯ:

сложные и интересные задачи на динамично развивающемся рынке Big Data и аналитики данных;
многоформатность задач, реально значимый опыт в проектном менеджменте и бизнес-аналитике;
работа в молодой, приятной, амбициозной команде;
гибкий график, адекватное руководство.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/119147277?query=ML+Engineer&hhtmFrom=vacancy_search_list,4 апреля 2025,"Agile Project Management,Бизнес-анализ,Управление бэклогом,Project management,MS Project,Waterfall,MS PowerPoint,Scrum,Заключение договоров,Управление изменениями"
Маркетинговый аналитик,АО Kolesa (АО Колеса),"Алматы, улица Шевченко, 157Б","от 900 000 до 1 100 000 ₸ за месяц, на руки","Kolesa Group — международная IT‐компания, строим классифайды для миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz — помогают людям и бизнесам продавать и покупать авто, недвижимость, товары и услуги.

О вакансии:

В нашу команду Аналитики, которая занимается крутыми проектами: находит точки роста продуктов, строит модели монетизации, визуализирует бизнес-показатели и конверсии, находит в данных инсайты и предлагает бизнесу решения требуется маркетинговый аналитик.

Команда состоит из крутых профессионалов, собранных из разных точек мира и ставит перед собой амбициозную задачу – построить Data Driven Company. Интересные задачи и использование передового технологического стека для аналитики и маркетинга гарантируем!

И главное, мы делаем полезные для миллионов людей, присоединяйся!

Тебе предстоит:

Помогать оптимизировать наш маркетинг. Заниматься оптимизацией и повышением эффективности компаний. Строить и улучшать воронки;

Анализировать показатели сайтов и приложений для принятия продуктовых решений;

Визуализировать данные, создавать отчеты и делать выводы;

Искать инсайты в большом объеме данных для формирования маркетинговой стратегии;

Работать с командой маркетинга, data-инженерами, продуктовыми-аналитиками;

Формулировать гипотезы, запускать A/B тесты, causal inference эксперименты и подводить итоги;

Обеспечивать качество сбора данных и активно работать с DWH-инженерами;

Использовать инструментарий ML для более глубокого понимания и решения проблем в маркетинге.

Мы ждем от тебя:

Опыт работы с SQL;

Базовый Python;

Опыт с Google-Аналитика /Firebase / Яндекс-Метрика / Яндекс-App метрика или с Базовый другими системами app/web аналитики;

Понимание роли интернет-маркетинга в digtital-компаниях.

Будет преимуществом:

Опыт работы с Python;

Опыт работы с API маркетинговых инструментов (GA, AppМетрика);

Знание и опыт работы в BI системах (мы используем Microsoft Power BI);

Опыт работы со стеком Google Cloud (наша DWH построена на Google Big Query) или другими облачными хранилищами;

Знание и навыки проведения экспериментов. A/B тесты, Causal Inference методики, бутстрап и прочее;

Большим плюсом будет релевантный опыт в отделах маркетинга;

Опыт работы с ETL и системами оркестрации (предпочтительно Airflow);

Опыт работы с Я.Директ, AdWords, Facebook/Instagram, VK, MyTarget и т.п.

Что приятного предлагаем:

Работу над продуктами, которыми пользуются 12 миллионов казахстанцев;

Работу в одном из самых масштабных проектов Казнета;

Дружную и профессиональную команду, готовую в любой момент помочь и поддержать;

Социальный пакет на выбор: медицинская страховка по VIP-пакету; услуги психолога, оплата фитнеса, услуги стоматологии, обучения, авиабилетов, компенсация дет.сада, частных школ или ГСМ;

Обучение английскому и казахскому языку;

Участие в митапах, тренингах и мастер-классах, доступ к огромной библиотеке;

Офис с современной техникой, в формате оупенспейса в центре города, доступный 24/7;

Отсутствие дресс-кода и бюрократии, свобода в реализации интересных проектов;

Поддерживаем инициативу и готовы реализовывать проекты, которых в КЗ никто не делал;

Программа релокации для иногородних сотрудников.

#referral",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,https://almaty.hh.kz/vacancy/118438453?query=ML+Engineer&hhtmFrom=vacancy_search_list,15 апреля 2025,"A/B тесты,Big Data,Google API,Яндекс.Метрика,DWH,Instagram,PowerBI,Работа с большим объемом информации,Разработка стратегии продвижения продуктов,Python,SQL,Анализ поведения пользователей,Internet Marketing"
Продуктовый аналитик в Kolesa.kz,АО Kolesa (АО Колеса),Не указано,"от 900 000 до 1 100 000 ₸ за месяц, на руки","Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz — помогают людям и бизнесам продавать, покупать и владеть авто, недвижимостью, товарами и услугами.

Культура экспериментов и data driven, командный дух, технологии, постоянное развитие и желание достичь крутых результатов — отличительные черты Kolesa Team.

О вакансии:

Мы ищем Product/Data-аналитика в kolesa.kz, который будет анализировать состояние продукта и помогать совершенствовать его.

Ты будешь частью команды аналитиков (50+ специалистов), собранной из разных уголков мира. Мы работаем в тесной связке с продакт-менеджерами, исследователями и разработчиками, чтобы принимать data-driven решения и влиять на стратегию продукта.

Аналитика в Kolesa Group - ключевой драйвер роста. Если для тебя важно видеть как результаты твоей работы напрямую влияют на бизнес и помогают пользователям - тебе точно к нам!

Тебе предстоит:

Анализировать показатели приложений и сайтов для принятия продуктовых решений;

Помогать бизнесу с формированием, приоритизацией и реализацией стратегии;

Контролировать и оценивать внедрение новых продуктовых фичей с помощью экспериментов. Мы используем очень широкий инструментарий и проводим около 300 экспериментов в год;

Искать инсайты в большом объеме данных для формирования продуктовой стратегии;

Погружаться в discovery-процессы вместе с продактами, исследователями, дизайнерами и разработчиками;

Визуализировать данные, создавать отчеты и делать выводы;

Формулировать и проверять гипотезы (A/B тесты, Causal Inference эксперименты, Causal ML и т. д.);

Активно работать с DWH-инженерами и обеспечивать качество нашей data-системы;

Использовать инструментарий ML для более глубокого понимания и решения бизнес проблем и построения ML-решений;

Разрабатывать и изучать новые методики анализа данных в продукте. Мы стараемся следовать за state-of-the-art решениями в анализе данных.

Мы ждем от тебя:

Уверенное владение SQL и опыт работы с Python.

Опыт применения аналитики для решения бизнес-задач. Умение связывать бизнес и аналитический контекст в обоих направлениях;

Глубокое понимание проведения экспериментов (A/B тестирование, Causal Inference, продвинутые методы);

Опыт в продуктовой аналитике и понимание ключевых метрик.

Будет преимуществом:

Опыт работы со стеком Google Cloud (наша DWH построена на Google Big Query) или другими облачными хранилищами;

Знания и опыт работы в BI системах (мы используем Microsoft Power BI);

Опыт работы с ETL и системами оркестрации (предпочтительно Airflow);

Опыт работы с ML для решения аналитических или бизнесовых задач.

Став частью Kolesa Team, ты получишь:

Гибридный формат: офлайн в офисе в г. Алматы с возможностью работы из дома 2 раза в неделю;

Работу в сильной команде, где ценятся взаимопомощь и ориентация на результат и постоянное развитие;

Постоянный рост: система грейдирования, индивидуальные планы развития, менторство;

Тематические мероприятия: квизы, киновечера, Family Day, тимбилдинги;

Медицинскую страховку, оплату авиабилетов, фитнеса, образования и многое другое — твой выбор, куда использовать соцпакет;

Обучение: мы оплачиваем участие в конференциях, тренингах, мастер-классах;

Языковые курсы и огромная онлайн-библиотека;

Скидки на фитнес, Lamoda, Skillbox, Skyeng, Geekbrains и т.д.;

Программа релокации для иногородних сотрудников.

#referral",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/118038202?query=ML+Engineer&hhtmFrom=vacancy_search_list,3 апреля 2025,"SQL,Python,Causal Inference,Airflow,Microsoft Power BI,A/B тесты"
Machine Learning Engineer (ML инженер),ТОО MacDent,"Астана, проспект Мангилик Ел, С3.5",Не указано,"Machine Learning Engineer (ML инженер) - специалист, который разрабатывает, дообучает, оптимизирует модели машинного обучения в продакшн.

Общие задачи ML инженера:
1.⁠ ⁠Подбор и дообучение моделей
1.1 Использование готовых моделей
1.2 Дообучение (fine-tuning) на специфичных данных
2.⁠ ⁠Оптимизация и развертывание моделей
2.1 Сжатие моделей
2.2 Оптимизация скорости работы
2.3 Разворачивает модели в API
3.⁠ ⁠Разработка пайплайнов машинного обучения
3.1 Автоматизация обучения
3.2 Настройка сбора и обработки данных
4.⁠ ⁠Интеграция моделей в продакшн
4.1 Настройка обработки запросов от пользователей
4.2 Оптимизация нагрузки (балансировка, кеширование)
4.3 Мониторинг работы моделей (A/B тесты, логирование)

Требуется знание:
1.⁠ ⁠Язык программирование Python
2.⁠ ⁠Фреймворки - PyTorch, TensorFlow, Hugging Face, DeepSpeed
3.⁠ ⁠Обучение - MLflow и иные инструменты
4.⁠ ⁠Понимание облачных сервисов ☁️
5.⁠ ⁠Понимание работы с GPU: NVIDIA CUDA, Tensor Cores, TPUs ⌨️

Требование под нашу задачу:
1.⁠ ⁠Опыт работы с моделями преобразования звука в текст (STT models) ️
2.⁠ ⁠Опыт с моделями GPT - DeepSeek, написание промтов, дообучение
3.⁠ ⁠Написание API и разворачивание в продакшн
4.⁠ ⁠Понимание работы обработки Real-Time обработки звука (WebSocket \ WebRTC)
5.⁠ ⁠Умение оптимизировать и балансировать нагрузку ‍♀️
6.⁠ ⁠Умение дообучать готовые модели (Fine-Tuning)

MacDent - CRM система для стоматологий и клиник, успешно помогает компаниям автоматизировать и систематизировать бизнес-процессы. На текущий момент 1000+ клиник активно пользуются нашей CRM-системой по всему Казахстану.

Мы активно развиваемся и хотим найти в команду профессионала в маркетинге, который любит маркетинг и IT, обожает сам зарабатывать и помогать в этом деле своим клиентам и команде.

Условия:

Оклад определим после собеседование
Зарплата поступает до 5 числа каждого месяца
Возможность получить опционы компании с перспективой продажи в будущем
Оплачиваются курсы
Предоставляются доступ к обучающим материалам
Личное обучение от команды и генерального директора по смежным темам
Здоровая атмосфера в команде
Уважение личных границ и адекватное отношение
Отсутствие переработок
Бесплатный теннис
Массаж для позвоночника
Библиотека с художественной и профессиональной литературой
Соседство с крупными IT-компаниями, такими как Astana Hub, TikTok, Yandex Cloud, reKassa и другие
Работа в офисе 5/2, с 09:30 до 18:30

Если вы любите IT, то обретите свой икигаи работая в компании MacDent, и в окружении лидеров IT-индустрии и здоровой команды стремящейся к развитию!


Внимание! В сопроводительном письме укажите ваши кейсы и результаты работ.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118840894?query=ML+Engineer&hhtmFrom=vacancy_search_list,27 марта 2025,Не указано
Head of engineering,ТОО BeyimTech,"Астана, улица Хусейн бен Талал, 21/1",Не указано,"BeyimTech  – IT стартап-компания, занимающаяся разработкой образовательных технологий с использованием искусственного интеллекта (EdTech+AI).

Обязанности:

Команда: Построение, управление и развитие команды разработки.

Разработка продукта: Руководство процессами разработки, тестирования и развертывания продуктов.

Техническая стратегия: Разработка и реализация технологической стратегии компании в соответствии с бизнес-целями.

Технический стек: Непрерывное изучение лучших практик в AI/ML, cloud-инфраструктура AWS

Архитектура и инфраструктура: Проектирование и оптимизация технологической архитектуры продуктов.

AI и Data Science: Внедрение технологий AI/ML для персонализации образовательного опыта.

Скалируемость и надежность: Обеспечение высокой доступности и масштабируемости платформы.

Инновации и R&D: Внедрение передовых технологий, поиск новых решений.

Кибербезопасность и защита данных: Контроль над безопасностью данных пользователей и соблюдением регуляторных норм.

Требования:

3 года опыта работы программистом

3 года опыта работы руководителем

Опыт в управлении команды разработки

Знание казахского, русского и английского языков обязателен

Знание Agile/Scrum

Опыт работы в стартапах, EdTech, AI/ML

Понимание образовательных технологий и систем e-learning будет плюсом

Условия:

Работа в офисе на левом берегу в 15 мин ходьбы от Mega SilkWay в Астане

График 5/2, 8:30-17:30

Офис расположен в 7-ми этажном собственном административном здании

В здании есть бесплатный фитнес зал для сотрудников, есть столы для настольного тенниса, столовая, кофейня-буфет, на примыкающей территории есть место для прогулок, баскетбольная и волейбольная площадка, футбол",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118898739?query=ML+Engineer&hhtmFrom=vacancy_search_list,28 марта 2025,Не указано
Data Analyst,ТОО Autodoc Group (Автодок Казахстан),"Алматы, улица Султанбека Ходжанова, 2/2",Не указано,"AUTODOC is the largest and fastest growing auto parts ecommerce platform in Europe.
Present across 27 countries with around 5,000 employees, AUTODOC generated revenue of over €1.3 billion in 2023, supplying more than 7.4 million active customers with its 5.8 million vehicle parts and accessories for car, truck, and motorcycle brands.

Curious minds, adventurous experts and tech-savvy professionals - one team, one billion euros revenue. Catch the ride!

Now we are looking for a Data Analyst who will communicate results to stakeholders in an easy-to-understand manner using data visualization and presentation tools.

Responsibilities:

Develop SQL scripts for key metrics.
Transform data findings into insights; use data visualization tools.
Design and optimize reports, dashboards, use Power BI.
Analyze data using Python (pandas, BeautifulSoup).
Calculate metrics for statistical significance.
Collaborate with business, analysts, data scientists, data engineers.
Present results to business clients.
Use Jira/Confluence for project management.

Qualifications:

Proficient in Python, SQL (ClickHouse preferred).
Skilled in Power BI/BI tools.
Intermediate statistics knowledge.
Handle large datasets effectively.
Experience with ClickHouse, certifications, e-commerce/automotive, R, Git, PySpark, ML.

Experience:

3 years' experience in data and product analysis.
Exceptional communication abilities.
Proficient in analyzing extensive datasets and deriving insights and suggestions.
Capable of handling large data volumes effectively.

What do we offer:

Competitive salaries based on your professional experience
Fast growing international company with stable employment
Annual vacation of 24 days and 1 additional day off on your birthday
Monthly Allowance for cover the costs of medical insurance expenses
Mental Wellbeing Program –providing you and your immediate family members with free and confidential mental and physical health support services for a wide range of personal and work-related issues
Opportunities for advancement, further trainings (over 650 courses on soft and hard skills on our e-learning platform) and coaching
Free English and German language classes
Referral Program with attractive incentives
Flexible working hours and hybrid work",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,https://almaty.hh.kz/vacancy/116520776?query=ML+Engineer&hhtmFrom=vacancy_search_list,19 апреля 2025,"SQL,Python,Clickhouse,R,Git,PySpark,ML,Power BI,Английский — C1 — Продвинутый"
Middle ML Engineer (NLP),ТОО DOCUMENTOLOG CREATIVE STUDIO,"Астана, проспект Мангилик Ел, 52А",Не указано,"Наша компания ищет специалиста в области NLP для работы на долгосрочной основе.

Обязанности:
- Создание сервисов на базе генеративных AI и классических ML/DL моделей;
- Сбор, обработка и загрузка данных из различных источников (SQL, NoSQL), работа с Дата пайплайнами;
- Разработка и поддержка API микросервисов, в т.ч. для деплоя моделей;
- Следовать современным трендам в области AI/DS;
- Сотрудничать с продуктовыми командами для успешного, своевременного внедрения и обслуживания сервисов;
- Проводить исследования и эксперименты с различными наборами данных;
- Управлять сложными рабочими процессами с данными и развивать экспертизу в предметной области.

Требования:
- Опыт работы не менее 2-х лет, из них:
в сфере Data Science / ML Engineering / Data Engineering не менее 2-х лет;
в сфере Deep Leanring и AI не менее 1 года;
- Практический опыт работы в NLP: обучение, оценка и использование моделей;
- Опыт работы с LLM: prompt engineering, evaluation, fine-tuning и т.д.;
- Опыт построения ETL процессов и интеграции данных из различных источников (БД, API, файловые системы);
- Опыт подготовки, аннотирования и предобработки данных для NLP задач;
- Понимание принципов работы классических ML/DL алгоритмов и моделей;
- Знание Python: умение писать чистый, тестируемый код;
- Знание SQL, Git, Docker, CI/CD.
- Плюс: опыт работы в построении Дата пайплайнов с помощью оркестраторов (Airflow, Dagster и т.д.) и/или распределённых систем (Spark, Hadoop и т.д.)

Условия:

- Оформление по ТК РК;
- Режим работы 5/2, с 09:00 до 18:30, обед с 13:00 до 14:30;
- Дружный коллектив и удобный офис.

Система мотивации:
- Беспроцентные займы: Финансовая поддержка сотрудников, проработавших в компании более 1 года;
- Фантомные акции компании: Сотрудники с опытом работы более 1 года получают возможность получать процент от чистой прибыли компании. Количество фантомных акций увеличивается с каждым годом работы в знак признательности за преданность и лояльность сотрудника.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/119492842?query=ML+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"Data Science,Machine Learning,Английский — B1 — Средний,Python,SQL,NLP"
Data Engineer (Golang),ТОО Wisebits,Лимассол,Не указано,"Wisebits — международный IT-холдинг с сильной технической командой!
Наш ключевой продукт — высоконагруженный видеохостинг, которым ежедневно пользуются миллионы людей по всему миру. Более чем за 15 лет на рынке мы сформировали профессиональную команду, где ценятся вовлечённость и инициативность.
Если хочешь работать с high-load продуктом и иметь возможность влиять на его развитие — присоединяйся к нам!

В нашу Data Science команду нужен Go-разработчик с интересом к Machine Learning. Новому члену команды предстоит работать над высоконагруженными сервисами.

Основные задачи:

ETL, разработка сервисов сбора, хранения и доступа к статистике и данным;
Оптимизация/создание pipeline для запуска ML решений в production;
Выполнять эпизодические задачи на анализ данных;
Обработка и агрегация данных для отчетов.

Стек: Golang, Kubernetes, ClickHouse, MySQL, MongoDB, Kafka, Redis.

Требования:

Опыт разработки на Go от 3 лет: Глубокое понимание языка и опыт написания эффективного кода с акцентом на обработку данных.
Знание баз данных: Опыт работы с ClickHouse, MySQL и MongoDB.
Контейнеризация и оркестрация: Понимание принципов работы с Kubernetes.
Протоколы и API: Опыт разработки HTTP/gRPC API.
Системы обмена сообщениями и кэширования: Опыт работы с Kafka и Redis.
Алгоритмы и структуры данных: Хорошее понимание и умение применять на практике.
Коммуникационные навыки: Способность эффективно взаимодействовать с командами Data Science и другими отделами.

Дополнительные плюсы:

Опыт создания дашбордов в Grafana.
Знание принципов работы высоконагруженных систем.
Интерес к машинному обучению и опыт поддержки A/B-экспериментов.

Эта позиция для вас, если:

Вы любите данные и еще больше любите технологии их обработки;
Вам нравится принимать решения и непосредственно участвовать в развитии продуктов;
Стремитесь к приобретению знаний в управлении и работе с данными, машинном обучении.

Что мы предлагаем:

Отсутствие бюрократии — гибкие условия работы;
Расширенный пакет бенефитов: медицинская страховка, покрытие налогов, курсы иностранных языков, профессиональное обучение, а также необходимая для работы техника;
Ежегодный пересмотр заработной платы и профессиональный рост;
Поддержку при релокации: мы берем на себя расходы по переезду для тебя и твоей семьи, включая покупку билетов, визовую поддержку и оплату первого месяца жилья.
Дружную и интернациональную команду, которая ценит профессионализм и сотрудничество.",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/117536107?query=ML+Engineer&hhtmFrom=vacancy_search_list,22 марта 2025,"Golang,Clickhouse,Kubernetes,MySQL,MongoDB,Apache Kafka,Redis"
AI Engineer,ТОО Виктори-Технолоджи,"Астана, улица Жошы хана, 27",Не указано,"Мы ищем опытного инженера по искусственному интеллекту для работы над инновационными проектами в области анализа судебных решений и юридической аналитики. Идеальный кандидат должен обладать глубокими знаниями в области машинного обучения, обработки естественного языка и больших данных, а также иметь опыт применения этих технологий в реальных проектах.

Ключевые обязанности:

Разработка и внедрение алгоритмов машинного обучения и глубокого обучения для анализа юридических текстов
Создание и оптимизация моделей обработки естественного языка для извлечения ключевой информации из судебных решений
Проектирование и разработка систем рекомендаций и предсказательной аналитики в юридической сфере
Работа с большими объемами данных, их очистка, предобработка и анализ
Интеграция AI-решений в существующие информационные системы
Проведение исследований и экспериментов для улучшения существующих моделей и алгоритмов
Сотрудничество с командой разработчиков, юристов и аналитиков для создания комплексных решений

Требования:

Не менее 1 года опыта работы в сфере разработки AI или не менее 3 лет в сфере ML решений
Глубокое понимание и практический опыт применения современных методов машинного обучения и глубокого обучения
Экспертные знания в области NLP, включая трансформеры, BERT и GPT модели
Опыт работы с фреймворками машинного обучения (PyTorch, TensorFlow) и библиотеками обработки данных (pandas, numpy)
Навыки программирования на Python, опыт работы с Git

Личные качества:

Аналитический склад ума и способность решать сложные проблемы
Внимание к деталям и ориентация на качество
Умение эффективно работать в команде

Условия:

Оформление по ТК РК
5 дней в неделю с 9:00 до 18:00
Возможен гибридный график после испытательного срока
Практикуем быстрый найм, без долгих согласований и этапов",более 6 лет,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/118453797?query=ML+Engineer&hhtmFrom=vacancy_search_list,28 марта 2025,"Python,Git,PyTorch,TensorFlow,pandas,Numpy"
