title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Помощник бухгалтера,ТОО Lider Security,Вакансия опубликована 11 мая 2025 в Алматы,"от 250 000 до 300 000 ₸ за месяц, на руки","Обязанности:
Ведение первичных и бухгалтерских документов, расчетов и платежных обязательств, расходования фонда заработной платы, товарно-материальных ценностей и денежных средств.
Учет ТМЦ (материалы, готовая продукция) – склад, перемещения, реализация
Создание и обработка первичных документов (накладные, счета, акты сверок).
Контроль дебиторской и кредиторской задолженности, платежей, банковских операций.
Подготовка актов инвентаризаций, сверка остатков, списание сырья и материалов.
Расчет и начисление заработной платы, пенсионных и социальных отчислений.
контроль ведения бухгалтерии по аутсорсингу , работа с бухгалтерами
Ежемесячная подготовка финансовых отчетов руководителю
личные поручения руководителя

Требования:

Знание компьютера
Работа в CRM (обучение)
опыт работы в 1С
опыт работы в бухгалтерии
Условия:
5-ти дневная рабочая неделя с 8.30 до 17.30
Официальное трудоустройство согласно ТК РК
Офис находиться р-он м-он Айнубулак",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,11 мая 2025,https://hh.kz/vacancy/119368035,"Первичная документация,Кассовые операции,Расчеты с покупателями и заказчиками,Первичная бухгалтерская документация,Отчет о движении денежных средств,Бухгалтерский баланс,Финансовый анализ,Учет ТМЦ,1С: Бухгалтерия,1С: Документооборот,1С: Предприятие 8,Отчет о прибылях и убытках,Основы бухгалтерского учета"
Финансист,ИП Sema,Вакансия опубликована 11 мая 2025 в Астане,"от 250 000 до 300 000 ₸ за месяц, на руки","Мы — ресторан DosStar , ищем в команду опытного финансиста, который поможет навести порядок в финансах, внедрить отчётность по МСФО и выстроить прозрачную систему учета и контроля. Если вы разбираетесь в бухгалтерии, калькуляции и финансовом контроле — будем рады познакомиться!

Обязанности:

•Внедрение финансовой отчётности по стандартам МСФО

•Ведение бухгалтерии ресторана

•Построение и контроль финансовых потоков (доходы, расходы, баланс)

•Подсчёт себестоимости и калькуляция блюд

•Подготовка финансовой отчетности и управленческого учета

•Анализ рентабельности и оптимизация затрат

•Финансовое планирование, бюджетирование, контроль исполнения бюджета

Требования:

•Высшее образование (финансы, экономика, бухгалтерский учет)

•Опыт работы финансистом/главным бухгалтером от 3 лет

•Отличное знание МСФО и опыт внедрения международной отчетности

•Уверенное владение Excel и финансовыми программами (1С и др.)

•Умение работать самостоятельно, системно и с высокой ответственностью

Условия:

•Работа в стабильной и растущей ресторанной компании

•График 5/2, гибкое начало рабочего дня

•Испытательный срок — 3 месяца

•После успешного прохождения испытательного срока — бонус от 1% чистой прибыли компании

•Возможность реализовывать свои инициативы и выстраивать процессы с нуля

•Дружная команда, поддержка руководства

Мы ценим системность, инициативу и желание делать лучше. Присоединяйтесь!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или удалённо,11 мая 2025,https://hh.kz/vacancy/120358600,"Финансовая отчетность,Финансовый анализ,Финансовый контроль,Финансовый аудит,Финансовое планирование,Финансовый менеджмент,Финансовые показатели,Отчет о финансовых результатах,Основы финансового менеджмента,Оптимизация налогообложения,Финансовое право,Экономический анализ,Налоговое планирование,Финансовая стратегия,Управление бухгалтерией,Управление налоговыми рисками,Финансовое моделирование,Управленческая отчетность,Экономическое обоснование,Бюджетирование,Планирование бюджета,Планирование затрат,Оптимизация затрат,Управление денежными средствами,Контроль бюджета"
Сотрудник по работе с отчетами,ТОО Wogau Sity,Вакансия опубликована 11 мая 2025 в Алматы,"от 325 000 до 348 000 ₸ за месяц, на руки","О компании

ТОО WOGAU SITY — ведущий дистрибьютор натуральной продукции по всему Казахстану. Мы сотрудничаем с крупнейшими торговыми сетями страны, включая Small, Метро, MyMart, Дастархан, GallMart, Magnum e-com и другие.

Наша цель — обеспечить казахстанских потребителей натуральными продуктами в доступном и премиальном сегменте. Мы активно развиваемся и ищем сотрудников, готовых расти и развиваться вместе с нами.

Обязанности

Сбор, сведение и структурирование данных из различных источников (Excel, CRM, Google Таблицы и др.)

Подготовка ежедневных, еженедельных и ежемесячных отчетов по продажам, остаткам, поставкам и другим направлениям

Работа с первичной документацией и проверка корректности предоставленных данных

Формирование аналитических таблиц по шаблонам

Автоматизация типовых отчетов и оптимизация шаблонов

Своевременное предоставление отчетности в установленные сроки

Взаимодействие с отделами закупа, логистики, бухгалтерии и продаж

Архивирование и систематизация отчетных данных в облачном хранилище

Выполнение задач руководителя отдела по аналитике и отчетности

Требования

Отличное знание Excel и Google Таблиц (включая формулы, сводные таблицы, фильтры, условное форматирование)

Умение работать с большими объемами информации

Внимательность, логическое мышление, аккуратность

Ответственность и соблюдение сроков

Грамотная письменная речь

Наличие стабильного интернета и компьютера для удаленной работы

Опыт работы с CRM-системами будет плюсом

Условия

Удаленная работа из любой точки Казахстана

Гибкий график: возможна частичная или полная занятость

Своевременная оплата, бонусы за эффективность и отсутствие ошибок

Обучение и наставничество в первые недели работы

Дружелюбный коллектив и прозрачная система взаимодействия

Возможность карьерного роста до аналитика или координатора отдела отчетности

Участие в корпоративных проектах и инициативах",не требуется,Полная занятость,"График: по выходным, свободный и другие варианты",Рабочие часы: по договорённости и другие варианты,Формат работы: удалённо,11 мая 2025,https://hh.kz/vacancy/120362153,Не указано
Главный бухгалтер в дистрибьюторскую компанию,ТОО Auto Logistics Product,Вакансия опубликована 11 мая 2025 в Туркестане,"400 000 ₸ за месяц, на руки","Обязанности:
Контроль ведения бухгалтерского учета компании;
Анализ и контроль кредиторской/дебиторской задолженности;
Сдача налоговой, финансовой и статистической отчетности;
Контроль учета импорта/экспорта ТМЦ и услуг;
Оптимизация налогообложения согласно законодательству;
Участие в финансовом анализе и формировании налоговой политики;
Автоматизация процессов бухгалтерского учета;
ежемесячные отчеты (в том числе и стат.);
прочие поручения бухгалтера

Требования:

Опыт работы главным бухгалтером от 6 лет;
Знание Налогового кодекса, МСФО, НСФО, трудового законодательства;
Опыт автоматизации бухгалтерских процессов;
Аналитические способности;
Опыт внешнего аудита и налоговых проверок.

Условия:

Официальное трудоустройство;
Работа в стабильной компании;
график работы 5/2, с 09:00 до 18:00;
Главный бухгалтер в дистрибьюторскую компанию, специализирующуюся на безалкогольных напитках",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,11 мая 2025,https://hh.kz/vacancy/118854357,Не указано
Fullstack developer (Nestjs + vue/vite),ИП Богатыренко Юрий Олегович,Вакансия опубликована 11 мая 2025 в Усть-Каменогорске,Не указано,"Fullstack-разработчик (NestJS + Vue 3)

Ainity.io – SaaS-платформа для автоматизации общения с клиентами

Формат работы: Удалённо, полный день (8 часов, Пн–Пт)
Занятость: Полная
Оплата: По результатам собеседования

О проекте:

Ainity.io — технологичная AI-платформа, которая помогает бизнесам автоматизировать общение с клиентами через WhatsApp, Telegram, Instagram, а также интегрируется с CRM-системами (например, Bitrix24). Сервис включает в себя визуальный редактор автоматизаций (аналог ManyChat), биллинг, поддержку нескольких пользователей и ролей, а также модульную архитектуру на микросервисах.

Обязанности:

Разработка и поддержка функционала на NestJS и Vue 3

Верстка интерфейсов по компонентной системе (Vuetify)

Интеграция со сторонними API:
Bitrix24, Google Calendar, WhatsApp (Gupshup/Green API), Telegram Bot, OpenAI

Работа с очередями задач (RabbitMQ), кэшами (Redis), токенизацией GPT-запросов

Участие в проектировании архитектуры модулей

✅ Требования:

Уверенный опыт работы с NestJS, PostgreSQL

Уверенные знания Vue 3, Vite, Pinia, Vuetify

Опыт интеграции с внешними сервисами (REST, Webhook, OAuth)

Опыт в адаптивной вёрстке и UI-интерфейсах

Умение самостоятельно разбираться в логике сложных систем

Будет плюсом:

Опыт с AI/ChatGPT-интеграциями

Понимание CRM-процессов и автоворонок

Знания DevOps (Docker, nginx, CI/CD)",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,11 мая 2025,https://hh.kz/vacancy/120358622,"PostgreSQL,Git,GitLab CI,Redis,RabbitMQ,REST API,JavaScript,Swagger"
Руководитель интернет-магазина,ТОО Зафко Казахстан,Вакансия опубликована 11 мая 2025 в Алматы,Не указано,"О компании:
Мы – динамично развивающаяся компания, работающая на различных маркетплейсах. В связи с расширением бизнеса ищем опытного руководителя для управления нашим интернет магазином .

Обязанности:

Полное ведение интернет площадок (управление ассортиментом, ценообразование, аналитика продаж).
Формирование и контроль ценовой политики, анализ конкурентных цен.
Настройка и контроль условий акций, участие в маркетинговых кампаниях.
Обеспечение своевременного обновления товарных карточек и наличия актуальных данных.
Мониторинг рейтинга и отзывов, работа с клиентами.
Взаимодействие с технической поддержкой интернет площадок для решения возможных вопросов.
Требования:
Обязательный опыт работы с маркетплейсом от 2х лет.
Глубокое понимание механизмов ценообразования и промо-акций.
Опыт работы с аналитикой продаж и конкурентного окружения.
Уверенное владение Excel, знание 1С будет преимуществом.
Навыки работы с контентом: заполнение карточек товаров, SEO-оптимизация.
Ответственность, внимательность к деталям, аналитический склад ума.

Условия:
Официальное трудоустройство.
График работы 5/2.
ДМС после испытательного срока.
Достойный уровень заработной платы + бонусы по KPI.
Возможности для профессионального роста и развития.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,11 мая 2025,https://hh.kz/vacancy/119846934,Английский — B1 — Средний
Проектный менеджер по продажам В2В,ТОО VEG Trade flooring and ceiling,Вакансия опубликована 11 мая 2025 в Алматы,Не указано,"VEG Trade — ведущий поставщик высококачественных напольных покрытий и подвесных потолков от мировых брендов, таких как Forbo, Gerflor, DLW Flooring, Knauf Ceiling Solutions, Armstrong World Industries, Döllken Profiles, Interface, MERO TSK, Албес, Küberit, Nora, Enlio, Tarkett, Brintons, Barlinek.

Мы предлагаем инновационные решения, создавая современные и функциональные пространства по всему Казахстану — от офисов, коммерческих и торговых центров до школ, спортзалов и медучреждений. За каждым успешно реализованным проектом стоит команда профессионалов, которая делает VEG Trade успешнее с каждым днём.

Кого мы ищем:
Проактивного Проектного менеджера по продажам, который усилит нашу команду и поможет нам расширять присутствие на рынке, развивая долгосрочные отношения с архитекторами, дизайнерами и генподрядчиками.

Мы с радостью рассмотрим кандидатов с опытом работы в ведущих FMCG-компаниях (""жвачники"", ""сигаретчики"", ""шоколадчики"" и другие). Эти специалисты обладают сильной школой продаж, отличными навыками ведения переговоров и не боятся конкуренции. Опыт в строительной сфере не обязателен — для нас важнее умение продавать и достигать результата. Остальному обучим!

Чем предстоит заниматься:

Активный поиск и привлечение новых клиентов.
Проведение переговоров и презентаций для корпоративных клиентов, архитекторов, дизайнеров и генподрядчиков.
Продвижение продукции VEG Trade в сегменте проектных продаж.
Включение материалов компании в проектные решения через взаимодействие с архитекторами, дизайнерами и генподрядчиками.
Заключение договоров и контроль их исполнения.
Согласование технических и коммерческих условий.
Полное сопровождение проектов от идеи до реализации.
Работа в CRM-системе: учёт взаимодействий и обновление данных по проектам.
Поддержка и развитие долгосрочных отношений с клиентами.
Подготовка отчётности о статусе проектов и достигнутых результатах.

Требования:

Опыт работы в продажах от 3 лет.
Навыки ведения переговоров и презентаций.
Умение выстраивать и поддерживать долгосрочные партнёрские отношения.
Аналитическое мышление и ориентация на результат.
Грамотная речь и презентабельный внешний вид.
Владение CRM-системами (желательно Bitrix24).
Готовность к командировкам. Будет плюсом:
Опыт работы в FMCG-компаниях с сильной школой продаж (жевательная резинка, шоколад, табачные компании и др.).
Навыки ведения сложных переговоров и опыт работы с крупными проектами.

Что мы предлагаем:

Карьерный рост и возможность профессионального развития.
Современный и комфортный офис.
Официальное трудоустройство согласно ТК РК.
Конкурентноспособная заработная плата+ бонусы (нет потолка по заработной плате).
График работы 5/2 с 9:00 до 18:00.
Дружный коллектив, готовый помочь вам быстро влиться в работу.
Интересные и разнообразные задачи по автоматизации и улучшению процессов.

Почему VEG Trade?

Работа с ведущими мировыми брендами.
Участие в интересных проектах и возможность влиять на их результат.
Пространство для роста и реализации своих идей.

Присоединяйтесь к нашей команде и помогайте нам воплощать передовые проекты Казахстана!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,11 мая 2025,https://hh.kz/vacancy/120341476,"B2B Продажи,Активные продажи,Поиск и привлечение клиентов,Ведение переговоров,Работа с корпоративными клиентами,Анализ рынка,Стратегическое мышление,Аналитика продаж,Работа с CRM,Деловая переписка,FMCG Продажи,Холодные продажи,Битрикс24,Организация презентаций"
QA Engineer Senior/ Middle+ (тестировщик),ТОО Jana Post,Вакансия опубликована 11 мая 2025 в Алматы,Не указано,"О компании:
Jana Post – динамично развивающаяся компания, предоставляющая современные решения в области логистики и электронной коммерции. Мы ценим инновации, качество и развитие наших сотрудников.

Обязанности:

Внедрить автотесты в действующий продукт.

Анализ продукта для интеграции автотеста.

Менторство junior QA.

Разработка, поддержка и выполнение тест-кейсов, тест-планов и тестовой документации.

Автоматизация тестирования (UI, API, интеграционные тесты).

Анализ требований и тестирование новых фич продукта.

Поиск, документирование и отслеживание дефектов.

Оптимизация процессов тестирования и внедрение best practices.

Взаимодействие с разработчиками, аналитиками и другими командами для обеспечения качества продукта.

Участие в code review автотестов и улучшение их архитектуры.

Работа с CI/CD пайплайнами для интеграции тестирования в процессы разработки.

Требования:

Опыт работы в тестировании от 2 лет на позиции Мiddle +, Тестирование API через Swagger

Глубокие знания методологий тестирования, видов тестирования, техник тест-дизайна.

Опыт автоматизированного тестирования на одном из языков (Python, Java, JavaScript).

Владение инструментами автоматизации тестирования (Selenium, Playwright, Cypress, JUnit, TestNG и др.).

Опыт тестирования API (Postman, REST Assured, SoapUI).

Навыки работы с базами данных (SQL, NoSQL).

Опыт работы с CI/CD (Jenkins, GitLab CI/CD, GitHub Actions).

Знание инструментов баг-трекинга (JIRA, Trello) и тест-менеджмента (TestRail, Zephyr).

Опыт работы в Agile/Scrum-командах.

Хорошие аналитические способности и внимание к деталям.

Знание казахского и русского языка обязательно!

Будет плюсом:

Опыт работы с облачными сервисами (AWS, GCP, Azure).

Опыт тестирования нагрузочного и производительного тестирования (JMeter, Gatling, k6).

Опыт работы с Docker и Kubernetes.

Условия:
Современный офис в Алматы и комфортные условия для работы.
Вовлечённая и развивающаяся команда, готовая учиться и расти.
График работы 5/2;
Бесплатный кофе, чай;
Интересная корпоративная культура и дружный коллектив;
Корпоративные мероприятия за счет компании;
Обучение в рамках корпоративной стратегии развития компании
Карьерный рост в динамичной Компании.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,11 мая 2025,https://hh.kz/vacancy/119618075,"Проведение тестирований,Функциональное тестирование,SQL,Atlassian Jira,Казахский — C2 — В совершенстве,Русский — C2 — В совершенстве"
Менеджер по маркетингу и развитию продаж,ТОО Pulsar Systems,Вакансия опубликована 11 мая 2025 в Астане,Не указано,"В нашу команду мы ищем опытного специалиста в области маркетинга и продаж. Если вы желаете работать и развиваться в стабильной компании, получать достойную зарплату, приобретать знания и улучшаться в профессиональных навыках, мы приглашаем вас в свою команду!

Обязанности:

Анализ рынка конкурентов, цен на продукцию, производственных возможностей;
Поиск и привлечение потенциальных клиентов;
Разработка и реализация маркетинговых стратегий для продвижения продукции;
Участие в формировании коммерческих предложений, акций и рекламных мероприятий;
Мониторинг и сбор информации о текущих тенденциях отрасли;
Подготовка аналитических отчетов по рынку, конкурентам и эффективности рекламных кампаний;
Составление баз данных клиентов;
Активное участие в продажах: обработка запросов, первичные переговоры, развитие клиентской базы;
Сопровождение сделок на первоначальных этапах.

Требования:

Высшее образование (маркетинг, экономика, менеджмент или смежные области);
Опыт работы в маркетинге, продажах или аналитике от 2 лет;
Знание инструментов конкурентного анализа и маркетинговых исследований;
Навыки подготовки маркетинговых материалов (презентации, тексты, предложения);
Опыт работы с CRM-системами приветствуется;
Отличные навыки коммуникации и ведения переговоров;
Умение работать с большим объемом информации, системность;
Инициативность, ориентация на результат;
Готовность работать в пригороде Астаны.

Условия:

Официальное оформление согласно ТК РК;
Конкурентоспособная заработная плата;
Корпоративная мобильная связь;
Возможности карьерного роста внутри компании;
Дружный, молодой и профессиональный коллектив;
Обучение, поддержка развития;
Участие в интересных проектах и бизнес-мероприятиях;
Корпоративы и тимбилдинги.

Мы не рассматриваем удаленный формат работы, только оффлайн.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,11 мая 2025,https://hh.kz/vacancy/119780151,"Продвижение бренда,Планирование рекламных кампаний,Internet Marketing,Интернет-реклама,Копирайтинг,Контекстная реклама,Организаторские навыки,Вирусный маркетинг,Ведение мобильных рекламных кампаний,Выставочная деятельность,Баннерная реклама"
Экономист-бухгалтер,ТОО ЭГИДА АЛМАТЫ,Вакансия опубликована 11 мая 2025 в Алматы,Не указано,"В развивающуюся компанию ""Эгида Алматы"" требуется ЭКОНОМИСТ

Чем предстоит заниматься:

отражение движений денежных средств

отражение движений по ТМЦ

расчет и установка плановой себестоимости выпускаемой продукции

участие в инвентаризации, отражение данных по инвентаризации в программном продукте

контроль за правильностью ведения справочников

координация производственных процессов с отражением в программном продукте

контроль дебиторской и кредиторской задолженности

контроль отрицательных остатков на складах и в программном продукте

проведение инвентаризации и отражение результатов в программе 1С

проведение процедуры закрытия месяца в программе 1С

Требования:

высшее экономическое или бухгалтерское образование

опыт работы в производственной сфере от 3-х лет

знание налогового и бухгалтерского законодательства будет преимуществом

знание программы 1С: Предприятие 8.1, УПП

MS Office

Мы предлагаем:

график работы 5/2 с 9.00 - 18.00

официальное трудоустройство согласно ТК Казахстан

своевременную конкурентную заработную плату

Присоединяйтесь к команде профессионалов!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,11 мая 2025,https://hh.kz/vacancy/119463554,"Работа с большим объемом информации,1С: Предприятие 8,Экономический анализ,Финансовый анализ,Бюджетирование"
